ticker,name,exchange,region,currency,sector
CAH,Cardinal Health,US,US,USD,Health Care
CCL,Carnival Corporation,US,US,USD,Consumer Discretionary
CARR,Carrier Global,US,US,USD,Industrials
CVNA,Carvana,US,US,USD,Consumer Discretionary
CASY,Casey's,US,US,USD,Consumer Staples
CBOE,Cboe Global Markets,US,US,USD,Financials
CBRE,CBRE Group,US,US,USD,Real Estate
CDW,CDW Corporation,US,US,USD,Information Technology
COR,Cencora,US,US,USD,Health Care
CNC,Centene Corporation,US,US,USD,Health Care
CNP,CenterPoint Energy,US,US,USD,Utilities
CF,CF Industries,US,US,USD,Materials
CRL,Charles River Laboratories,US,US,USD,Health Care
SCHW,Charles Schwab Corporation,US,US,USD,Financials
CHTR,Charter Communications,US,US,USD,Communication Services
CVX,Chevron Corporation,US,US,USD,Energy
CMG,Chipotle Mexican Grill,US,US,USD,Consumer Discretionary
CB,Chubb Limited,US,US,USD,Financials
CHD,Church & Dwight,US,US,USD,Consumer Staples
CIEN,Ciena,US,US,USD,Information Technology
CI,Cigna,US,US,USD,Health Care
CINF,Cincinnati Financial,US,US,USD,Financials
CTAS,Cintas,US,US,USD,Industrials
CSCO,Cisco,US,US,USD,Information Technology
C,Citigroup,US,US,USD,Financials
CFG,Citizens Financial Group,US,US,USD,Financials
CLX,Clorox,US,US,USD,Consumer Staples
CME,CME Group,US,US,USD,Financials
CMS,CMS Energy,US,US,USD,Utilities
CTSH,Cognizant,US,US,USD,Information Technology
COHR,Coherent Corp.,US,US,USD,Information Technology
COIN,Coinbase,US,US,USD,Financials
CL,Colgate-Palmolive,US,US,USD,Consumer Staples
CMCSA,Comcast,US,US,USD,Communication Services
FIX,Comfort Systems USA,US,US,USD,Industrials
CAG,Conagra Brands,US,US,USD,Consumer Staples
COP,ConocoPhillips,US,US,USD,Energy
ED,Consolidated Edison,US,US,USD,Utilities
STZ,Constellation Brands,US,US,USD,Consumer Staples
CEG,Constellation Energy,US,US,USD,Utilities
COO,Cooper Companies (The),US,US,USD,Health Care
CPRT,Copart,US,US,USD,Industrials
GLW,Corning Inc.,US,US,USD,Information Technology
CPAY,Corpay,US,US,USD,Financials
CTVA,Corteva,US,US,USD,Materials
CSGP,CoStar Group,US,US,USD,Real Estate
COST,Costco,US,US,USD,Consumer Staples
CRH,CRH plc,US,US,USD,Materials
CRWD,CrowdStrike,US,US,USD,Information Technology
CCI,Crown Castle,US,US,USD,Real Estate
CSX,CSX Corporation,US,US,USD,Industrials
CMI,Cummins,US,US,USD,Industrials
CVS,CVS Health,US,US,USD,Health Care
DHR,Danaher Corporation,US,US,USD,Health Care
